LEI	LEGAL NAME	STATE
5493001NJEVHTZW7FG34	SCHOOLSFIRST	
549300ZJIC4LOLZH0M42	THE GOLDEN 1	
213800G2PIF9YIBZO248	THE GOLDEN HOLIDAY COMPANY LIMITED	
6488C9QHAI93G1G75645	THE GOLDEN PALM RESORT	
984500BB2EBB672C5028	The Golden Trust	
335800ZMAX5Y5QANDW73	THE GOLDEN CASTLE	
984500FCO378BC9VH906	THE GOLDEN ESTATES	
335800LQMFLYPNYAXC11	THE GOLDEN HERITAGE	
6488YDQK99L18Y8V3812	THE GOLDEN VENTURES	
6488BS2D7NPR6S669122	THE GOLDEN DAYS CLUB	
529900IM4F5VHHKV7O98	The Golden Cloud Fund	
549300KTR1JGH3K6LU06	FOURLEAF	
98450047Z84D9ED5E450	FOURLEAF S.R.L.	
984500BDQC5054C0E274	FOUR LEAF LIMITED	
984500EB1AB00A93E653	FOUR LEAF CLOVER AS	
254900QLP79HMHP7TL83	FOUR LEAF CAPITAL LLC	
549300K1XUKLCYQHPX48	FOUR LEAF CLOVER (JERSEY) LIMITED	
549300I2RZPFOJRL5N73	Four Leaf Homes Western Michigan LLC	
64889KE5MW408ER50O33	FOUR LEAF CLOVER AGRO PRIVATE LIMITED	
724500DI1CJK4XSN3T46	DGITAL	
969500XFNN6BI4C4WU15	DIGITAL PARK	
988400DKS8PW7H5K1J58	Digitalab Co., Ltd.	
9695009XPA88FG3UMD62	DIGITEL	
969500QFAD9QWPWH9659	DIGGITAL	
636700ENXOOXTKQJL220	DIGITAL EDGE AS	
3912006SZ4L17K8OHJ43	Digital IQ GmbH	
6488W2FP52D5456MQW59	DIGITAL SYSTEMS	
2549005C04N5RBFK1D68	Digital8	
969500NPPNQHPYAKF121	REDWOOD INVESTISSEMENTS	
549300O1ZF3ZQY4HXH55	REDWOOD CAPITAL MANAGEMENT LIMITED	
98450097BFF2D997C577	Redwood OÜ	
254900V5YL7BPC3BOE87	Redwood Value Investment Limited	
254900KAZP5378E26S21	Redwood LLC	
724500SWLJN3TAZGA048	Redwood B.V.	
9845003DC6AS5E3FBQ91	REDWOOD S.L.	
213800YHAPZWD7Z5K260	REDWOOD SSAS	
9695009HUVZNQUZLO882	STAR ONE	
213800O5DD6ATBVJAD23	STARZONE PLC	
72450046LEMB0RRY1H87	Star-Oké B.V.	
3358008XBUHHCF99HN43	STAR OVERSEAS	
54930093OBW5Z1XZI828	STARTONE S.A.	
815600E174EE15198218	STARK ONE S.R.L.	
549300LSQJCEY1FVWJ50	Startone Limited	
3912001CSTCXCFFXYT94	Star Networks GmbH	
33580086JMMYRZBSR956	STAR ENERGY SYSTEMS	
213800BSA5AOHZJOJX52	STAR NEBULA LIMITED	
549300K7224BC1IAX207	MIDFLORIDA	
549300425AX2NFKZSW56	MID FLORIDA ARMORED WPB INC	
549300D1YI7PXJEYWR90	MID-FLORIDA REGIONAL MULTIPLE LISTING SERVICE, INC	
5493002DTZKMTMHM0487	MIDFLORIDA ARMORED & ATM SERVICES, INC.	
549300IKS3MMB5YK6T18	KINECTA	
7245004QRSG0L9UB3S86	Kinection	
7437002VUGI8IOWHTC60	Kinestasis Oy	
549300UFLT2S5W72MU22	Kinectrics Inc.	
549300GDYGPVQ8KF6Z37	KINECT ENERGY AS	
549300Z3UJT0I35W0L32	Kinected Pty Ltd	
959800HFMUPU3EJM0642	KONECTA BTO, S.L.	
315700K9SNR5FGN4M985	Konecta Czech a.s.	
254900CY5LA80BDG6448	KONECTA UK LIMITED	
549300TUSRLWD8ETNR90	SPOKANE TEACHERS	
254900JOJ1KLDHQO9J37	Bautersemstraat 48	
894500T9MQZDIPYTFZ10	Bagterpvej 24	
984500E65EED394AE437	BOXTER	
2549000UWKREDWEU0T86	Bastero	
724500XCLK2W71Y58541	Batterijlaan 33	
6994000IGU27QGG3NH76	Bautersemstraat 68 bus a	
969500F4GB9LTGEJ1V86	BASTERIE	
9845002CB93CDM9Y2234	Batterijstraat 72	
549300N5GF79IZ5Y7G10	American Heritage Credit Union	
549300ZPSJZO10ZAX556	AMERICAN HERITAGE LENDING, INC.	
549300Z0ZUTDURG4KA31	AMERICAN HERITAGE CAPITAL, L.P.	
549300G3WIMVDYUYQC27	American Heritage National Bank	
549300CI8B3CG2TJI440	American Heritage-Draper, L.L.C.	
5493004KA52F3RP0T321	American Heritage Investment LLC	
894500YWVNO82C5PPY67	AMERICAN HERITAGE SECURITIES, INC.	
2549004OC91L41W9XR37	EDUCATIONAL EMPLOYEES CREDIT UNION	
5493000FWM3I2HHQY149	WASHINGTON STATE EMPLOYEES CREDIT UNION	
549300M03EN3OQEDU087	KEESLER	
391200PO5VDZSJ9YLC40	Keßler GmbH	
98450093ED378A1F8545	Kessler & Co AG	
959800L168Z0R6WW9V37	KESLER PROM S.L.	
5299006R1BAFO4M9OJ71	Kessler/Weiß GbR	
254900LTV0LNJ5FZLD27	KESSLER/OHIO, LLC	
549300JES3YEDAZXGA71	KESSLER & BACK ApS	
5493007B1GAUZGYHPR07	NUSENDA	
635400J7OAKZ2X9TKR54	Nurendale	
549300AUL77A8UKADB04	ROBINS FINANCIAL	
213800TQHQKOE28LBE41	ROINS FINANCIAL SERVICES LIMITED	
549300NL3JN3ABDPH257	AFFINITY PLUS	
9845008B7D0BCD2C0361	AffinityPlus Credit Union Limited	
