source_address,lei,entity_name,lei_record_url,error
AZURA Credit Union,549300CPT4UV65RIEU74,Azura Credit Union,https://api.gleif.org/api/v1/lei-records/549300CPT4UV65RIEU74,
PFCU ,2549008NRAZRGNG0TT58,,,no_match
Pelican State Credit Union,25490058TX0QV62WQ461,,,no_match
TRUE SKY Credit Union,549300M2HFFTNLBO7R56,TRUE SKY CREDIT UNION,https://api.gleif.org/api/v1/lei-records/549300M2HFFTNLBO7R56,
SACRAMENTO Credit Union,549300Z66NI4HM439O26,SACRAMENTO Credit Union,https://api.gleif.org/api/v1/lei-records/549300Z66NI4HM439O26,
Air Academy Federal Credit Union ,549300ELXS6PBT8OEE44,,,no_match
NATIONAL INSTITUTES OF HEALTH FEDERAL CREDIT UNION ,5493007KLU19FK8PG279,,,no_match
INTOUCH Credit Union,549300L7HZ4C5U35BO37,INTOUCH CREDIT UNION,https://api.gleif.org/api/v1/lei-records/549300L7HZ4C5U35BO37,
MID MINNESOTA Credit Union,,,,no_match
SMART FINANCIAL Credit Union,549300Z54IIB4Q3AKI90,SMART FINANCIAL CREDIT UNION,https://api.gleif.org/api/v1/lei-records/549300Z54IIB4Q3AKI90,
1ST NORTHERN CALIFORNIA,549300PUF6BDR1QRB167,,,no_match
Direct Federal Credit Union ,5493008Q2ZM3OTLTQH25,,,no_match
FOOTHILL Credit Union,5493004V3AW2SVUJ5U52,FOOTHILLS CREDIT UNION,https://api.gleif.org/api/v1/lei-records/5493004V3AW2SVUJ5U52,
TEXELL Credit Union,549300BDFK1ZR5QSYO15,TEXELL Credit Union,https://api.gleif.org/api/v1/lei-records/549300BDFK1ZR5QSYO15,
HAWAII COMMUNITY Credit Union,5493005VBGFDRV6FSU19,,,no_match
DEPARTMENT OF COMMERCE,549300U8E8RBG5YNMP39,,,no_match
SERVICE 1ST Credit Union,549300DQW5P73YGBL063,,,no_match
FAMILY TRUST Credit Union,,,,no_match
LA CAPITOL Credit Union,549300V1ZDKDQXFW3339,,,no_match
DOVER-PHILA Credit Union,,,,no_match
POLISH NATIONAL Credit Union,549300FQS3UXEAID1Q88,POLISH NATIONAL CREDIT UNION,https://api.gleif.org/api/v1/lei-records/549300FQS3UXEAID1Q88,
MAINE STATE Credit Union,254900PP57SEJJCWLI44,Maine State Credit Union,https://api.gleif.org/api/v1/lei-records/254900PP57SEJJCWLI44,
CARIBE Credit Union,254900KMMJNL0IJNSM73,,,no_match
THE FIRST FINANCIAL FEDERAL CREDIT UNION,54930074FI0I2Q6G5S43,,,no_match
FREEDOM Credit Union,2549006HJBA7HTOZF285,Freedom Credit Union,https://api.gleif.org/api/v1/lei-records/2549006HJBA7HTOZF285,
SEA COMM,549300Z2IS3ZCJG3OT45,,,no_match
Generations Community Federal Credit Union - ,549300UX6CADCIYJ3506,,,no_match
CARTER FEDERAL CREDIT UNION,549300CKG3JGNHH34D61,,,no_match
UNIVERSITY OF ILLINOIS COMMUNITY Credit Union,549300MD1OK70DH5EZ47,University of Illinois Community Credit Union,https://api.gleif.org/api/v1/lei-records/549300MD1OK70DH5EZ47,
TOWN AND COUNTRY Credit Union,5493000JZXUB8NOEMF64,TOWN AND COUNTRY Credit Union,https://api.gleif.org/api/v1/lei-records/5493000JZXUB8NOEMF64,
FRONTIER Credit Union,,,,no_match
PROFED Credit Union,549300BSIYFJ3FALVK78,PROFED CREDIT UNION,https://api.gleif.org/api/v1/lei-records/549300BSIYFJ3FALVK78,
GRANITE STATE Credit Union,254900O6ESF124P8HR04,GRANITE STATE CREDIT UNION,https://api.gleif.org/api/v1/lei-records/254900O6ESF124P8HR04,
ARIZONA CENTRAL Credit Union,549300A76WI58XAFNF59,ARIZONA CENTRAL CREDIT UNION,https://api.gleif.org/api/v1/lei-records/549300A76WI58XAFNF59,
RELIANT COMMUNITY FEDERAL CREDIT UNION,549300E3VF26P7719Z56,,,no_match
PRIMEWAY Credit Union,,,,no_match
WE FLORIDA FINANCIAL Credit Union,,,,no_match
NUTMEG STATE FINANCIAL Credit Union,,,,no_match
DAKOTALAND Credit Union,,,,no_match
MERIDIAN TRUST Credit Union,,,,no_match
